Date,Open,High,Low,Close,Change,%Change
12/30/2019,1874.0,1884.0,1840.62,1846.89,-27.1,-1.45
12/31/2019,1842.0,1853.26,1832.23,1847.84,5.8,0.32
01/02/2020,1875.0,1898.01,1864.15,1898.01,23.0,1.23
01/03/2020,1864.5,1886.2,1864.5,1874.97,10.5,0.56
01/06/2020,1860.0,1903.69,1860.0,1902.88,42.9,2.31
01/07/2020,1904.5,1913.89,1892.04,1906.86,2.4,0.12
01/08/2020,1898.04,1911.0,1886.44,1891.97,-6.1,-0.32
01/09/2020,1909.89,1917.82,1895.8,1901.05,-8.8,-0.46
01/10/2020,1905.37,1906.94,1880.0,1883.16,-22.2,-1.17
01/13/2020,1891.31,1898.0,1880.8,1891.3,-0.0,-0.0
01/14/2020,1885.88,1887.11,1858.55,1869.44,-16.4,-0.87
01/15/2020,1872.25,1878.86,1855.09,1862.02,-10.2,-0.55
01/16/2020,1882.99,1885.59,1866.02,1877.94,-5.0,-0.27
01/17/2020,1885.89,1886.64,1857.25,1864.72,-21.2,-1.12
01/21/2020,1865.0,1894.27,1860.0,1892.0,27.0,1.45
01/22/2020,1896.09,1902.5,1883.34,1887.46,-8.6,-0.46
01/23/2020,1885.11,1889.97,1872.76,1884.58,-0.5,-0.03
01/24/2020,1891.37,1894.99,1847.44,1861.64,-29.7,-1.57
01/27/2020,1820.0,1841.0,1815.34,1828.34,8.3,0.46
01/28/2020,1840.5,1858.11,1830.02,1853.25,12.8,0.69
01/29/2020,1864.0,1874.75,1855.02,1858.0,-6.0,-0.32
01/30/2020,1858.0,1872.87,1850.61,1870.68,12.7,0.68
01/31/2020,2051.47,2055.72,2002.27,2008.72,-42.7,-2.08
02/03/2020,2010.6,2048.5,2000.25,2004.2,-6.4,-0.32
02/04/2020,2029.88,2059.8,2015.37,2049.67,19.8,0.97
02/05/2020,2071.02,2071.02,2032.0,2039.87,-31.2,-1.5
02/06/2020,2041.02,2056.3,2024.8,2050.23,9.2,0.45
02/07/2020,2041.99,2098.53,2038.1,2079.28,37.3,1.83
02/10/2020,2085.01,2135.6,2084.96,2133.91,48.9,2.35
02/11/2020,2150.9,2185.95,2136.0,2150.8,-0.1,-0.0
02/12/2020,2163.2,2180.25,2155.29,2160.0,-3.2,-0.15
02/13/2020,2144.99,2170.28,2142.0,2149.87,4.9,0.23
02/14/2020,2155.68,2159.04,2125.89,2134.87,-20.8,-0.97
02/18/2020,2125.02,2166.07,2124.11,2155.67,30.7,1.44
02/19/2020,2167.8,2185.1,2161.12,2170.22,2.4,0.11
02/20/2020,2173.07,2176.79,2127.45,2153.1,-20.0,-0.92
02/21/2020,2142.15,2144.55,2088.0,2095.97,-46.2,-2.16
02/24/2020,2003.18,2039.3,1987.97,2009.29,6.1,0.31
02/25/2020,2026.42,2034.6,1958.42,1972.74,-53.7,-2.65
02/26/2020,1970.28,2014.67,1960.45,1979.59,9.3,0.47
02/27/2020,1934.38,1975.0,1882.76,1884.3,-50.1,-2.59
02/28/2020,1814.63,1889.76,1811.13,1883.75,69.1,3.81
03/02/2020,1906.49,1954.51,1870.0,1953.95,47.5,2.49
03/03/2020,1975.37,1996.33,1888.09,1908.99,-66.4,-3.36
03/04/2020,1946.57,1978.0,1922.0,1975.83,29.3,1.5
03/05/2020,1933.0,1960.72,1910.0,1924.03,-9.0,-0.46
03/06/2020,1875.0,1910.87,1869.5,1901.09,26.1,1.39
03/09/2020,1773.86,1862.77,1761.29,1800.61,26.8,1.51
03/10/2020,1870.88,1894.27,1818.17,1891.82,20.9,1.12
03/11/2020,1857.85,1871.32,1801.5,1820.86,-37.0,-1.99
03/12/2020,1721.98,1765.0,1675.0,1676.61,-45.4,-2.63
03/13/2020,1755.0,1786.31,1680.62,1785.0,30.0,1.71
03/16/2020,1641.51,1759.45,1626.03,1689.15,47.6,2.9
03/17/2020,1775.47,1857.78,1689.24,1807.84,32.4,1.82
03/18/2020,1750.0,1841.66,1745.0,1830.0,80.0,4.57
03/19/2020,1860.0,1945.0,1832.65,1880.93,20.9,1.13
03/20/2020,1926.31,1957.0,1820.73,1846.09,-80.2,-4.16
03/23/2020,1827.75,1919.4,1812.0,1902.83,75.1,4.11
03/24/2020,1951.49,1955.0,1900.34,1940.1,-11.4,-0.58
03/25/2020,1920.69,1950.26,1885.78,1885.84,-34.9,-1.81
03/26/2020,1902.0,1956.49,1889.29,1955.49,53.5,2.81
03/27/2020,1930.86,1939.79,1899.92,1900.1,-30.8,-1.59
03/30/2020,1922.83,1973.63,1912.34,1963.95,41.1,2.14
03/31/2020,1964.35,1993.02,1944.01,1949.72,-14.6,-0.74
04/01/2020,1932.97,1944.96,1893.0,1907.7,-25.3,-1.31
04/02/2020,1901.64,1927.53,1890.0,1918.83,17.2,0.9
04/03/2020,1911.15,1926.33,1889.15,1906.59,-4.6,-0.24
04/06/2020,1936.0,1998.52,1930.02,1997.59,61.6,3.18
04/07/2020,2017.11,2035.72,1997.62,2011.6,-5.5,-0.27
04/08/2020,2021.0,2044.0,2011.15,2043.0,22.0,1.09
04/09/2020,2044.3,2053.0,2017.66,2042.76,-1.5,-0.08
04/13/2020,2040.0,2180.0,2038.0,2168.87,128.9,6.32
04/14/2020,2200.47,2292.0,2186.21,2283.32,82.9,3.77
04/15/2020,2257.68,2333.37,2245.0,2307.68,50.0,2.21
04/16/2020,2346.0,2461.0,2335.0,2408.19,62.2,2.65
04/17/2020,2372.33,2400.0,2316.02,2375.0,2.7,0.11
04/20/2020,2389.95,2444.98,2386.05,2393.61,3.7,0.15
04/21/2020,2416.61,2428.31,2279.66,2328.12,-88.5,-3.66
04/22/2020,2369.0,2394.0,2351.0,2363.49,-5.5,-0.23
04/23/2020,2399.98,2424.22,2382.08,2399.45,-0.5,-0.02
04/24/2020,2417.0,2420.43,2382.0,2410.22,-6.8,-0.28
04/27/2020,2443.2,2444.88,2363.0,2376.0,-67.2,-2.75
04/28/2020,2372.1,2373.5,2306.0,2314.08,-58.0,-2.45
04/29/2020,2330.01,2391.89,2310.0,2372.71,42.7,1.83
04/30/2020,2419.84,2475.0,2396.01,2474.0,54.2,2.24
05/01/2020,2336.8,2362.44,2258.19,2286.04,-50.8,-2.17
05/04/2020,2256.38,2326.98,2256.38,2315.99,59.6,2.64
05/05/2020,2340.0,2351.0,2307.13,2317.8,-22.2,-0.95
05/06/2020,2329.44,2357.45,2320.0,2351.26,21.8,0.94
05/07/2020,2374.78,2376.0,2343.11,2367.61,-7.2,-0.3
05/08/2020,2372.14,2387.24,2357.0,2379.61,7.5,0.31
05/11/2020,2374.7,2419.66,2372.11,2409.0,34.3,1.44
05/12/2020,2411.85,2419.0,2355.0,2356.95,-54.9,-2.28
05/13/2020,2366.8,2407.7,2337.8,2367.92,1.1,0.05
05/14/2020,2361.01,2391.37,2353.21,2388.85,27.8,1.18
05/15/2020,2368.52,2411.0,2356.37,2409.78,41.3,1.74
05/18/2020,2404.35,2433.0,2384.01,2426.26,21.9,0.91
05/19/2020,2429.83,2484.99,2428.97,2449.33,19.5,0.8
05/20/2020,2477.87,2500.01,2467.27,2497.94,20.1,0.81
05/21/2020,2500.0,2525.45,2442.54,2446.74,-53.3,-2.13
05/22/2020,2455.01,2469.85,2430.13,2436.88,-18.1,-0.74
05/26/2020,2458.0,2462.0,2414.06,2421.86,-36.1,-1.47
05/27/2020,2404.99,2413.58,2330.0,2410.39,5.4,0.22
05/28/2020,2384.33,2436.97,2378.23,2401.1,16.8,0.7
05/29/2020,2415.94,2442.37,2398.2,2442.37,26.4,1.09
06/01/2020,2448.0,2476.93,2444.17,2471.04,23.0,0.94
06/02/2020,2467.0,2473.53,2445.31,2472.41,5.4,0.22
06/03/2020,2468.01,2488.0,2461.17,2478.4,10.4,0.42
06/04/2020,2477.43,2507.54,2450.01,2460.6,-16.8,-0.68
06/05/2020,2444.51,2488.64,2437.13,2483.0,38.5,1.57
06/08/2020,2500.2,2530.0,2487.34,2524.06,23.9,0.95
06/09/2020,2529.44,2626.43,2525.0,2600.86,71.4,2.82
