"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 10, 2020","3,175.11","3,307.22","3,349.89","3,170.55","5.33M","-2.86%"
"Sep 09, 2020","3,268.61","3,202.99","3,303.18","3,185.00","5.19M","3.77%"
"Sep 08, 2020","3,149.84","3,144.00","3,250.84","3,130.00","6.09M","-4.39%"
"Sep 04, 2020","3,294.62","3,318.00","3,381.50","3,111.13","8.78M","-2.18%"
"Sep 03, 2020","3,368.00","3,485.00","3,488.41","3,303.00","8.16M","-4.63%"
"Sep 02, 2020","3,531.45","3,547.00","3,552.25","3,486.68","3.93M","0.92%"
"Sep 01, 2020","3,499.12","3,489.58","3,513.87","3,467.00","3.48M","1.40%"
"Aug 31, 2020","3,450.96","3,408.99","3,495.00","3,405.00","4.19M","1.45%"
"Aug 28, 2020","3,401.80","3,423.00","3,433.37","3,386.50","2.90M","0.05%"
"Aug 27, 2020","3,400.00","3,450.05","3,453.00","3,378.00","4.26M","-1.22%"
"Aug 26, 2020","3,441.85","3,351.11","3,451.74","3,344.57","6.51M","2.85%"
"Aug 25, 2020","3,346.49","3,294.99","3,357.40","3,267.00","3.99M","1.18%"
"Aug 24, 2020","3,307.46","3,310.15","3,380.32","3,257.56","4.67M","0.69%"
"Aug 21, 2020","3,284.72","3,295.00","3,314.40","3,275.39","3.58M","-0.38%"
"Aug 20, 2020","3,297.37","3,252.00","3,312.62","3,238.00","3.33M","1.13%"
"Aug 19, 2020","3,260.48","3,303.01","3,315.90","3,256.00","4.19M","-1.57%"
"Aug 18, 2020","3,312.49","3,212.00","3,320.00","3,205.82","5.35M","4.09%"
"Aug 17, 2020","3,182.41","3,173.12","3,194.97","3,154.18","2.69M","1.09%"
"Aug 14, 2020","3,148.02","3,178.18","3,178.24","3,120.00","2.75M","-0.41%"
"Aug 13, 2020","3,161.02","3,182.99","3,217.52","3,155.00","3.15M","-0.04%"
"Aug 12, 2020","3,162.24","3,108.00","3,174.39","3,101.42","3.53M","2.65%"
"Aug 11, 2020","3,080.67","3,113.20","3,159.22","3,073.00","3.72M","-2.14%"
"Aug 10, 2020","3,148.16","3,170.31","3,172.51","3,101.52","3.17M","-0.61%"
"Aug 07, 2020","3,167.46","3,224.01","3,240.81","3,140.67","3.94M","-1.78%"
"Aug 06, 2020","3,225.00","3,194.36","3,247.47","3,165.43","3.94M","0.62%"
"Aug 05, 2020","3,205.03","3,143.77","3,213.59","3,127.30","3.93M","2.11%"
"Aug 04, 2020","3,138.83","3,101.21","3,167.24","3,101.21","4.69M","0.87%"
"Aug 03, 2020","3,111.89","3,180.51","3,184.00","3,104.00","5.07M","-1.67%"
"Jul 31, 2020","3,164.68","3,244.00","3,246.82","3,151.00","8.08M","3.70%"
"Jul 30, 2020","3,051.88","3,014.00","3,092.00","3,005.00","6.13M","0.60%"
"Jul 29, 2020","3,033.53","3,030.99","3,039.16","2,996.77","2.97M","1.11%"
"Jul 28, 2020","3,000.33","3,054.27","3,077.09","2,995.76","3.13M","-1.80%"
"Jul 27, 2020","3,055.21","3,062.00","3,098.00","3,015.77","4.17M","1.54%"
"Jul 24, 2020","3,008.91","2,930.00","3,031.58","2,888.00","5.63M","0.75%"
"Jul 23, 2020","2,986.55","3,098.27","3,098.27","2,970.00","5.66M","-3.66%"
"Jul 22, 2020","3,099.91","3,125.00","3,150.00","3,065.26","4.10M","-1.22%"
"Jul 21, 2020","3,138.29","3,232.49","3,240.58","3,105.72","6.13M","-1.83%"
"Jul 20, 2020","3,196.84","3,000.20","3,201.36","2,994.02","7.60M","7.93%"
"Jul 17, 2020","2,961.97","3,009.00","3,024.00","2,948.45","4.76M","-1.26%"
"Jul 16, 2020","2,999.90","2,971.06","3,032.00","2,918.23","6.39M","-0.30%"
"Jul 15, 2020","3,008.87","3,080.23","3,098.35","2,973.18","5.79M","-2.44%"
"Jul 14, 2020","3,084.00","3,089.00","3,127.38","2,950.00","7.23M","-0.64%"
"Jul 13, 2020","3,104.00","3,251.06","3,344.29","3,068.39","7.72M","-3.00%"
"Jul 10, 2020","3,200.00","3,191.76","3,215.00","3,135.70","5.49M","0.55%"
"Jul 09, 2020","3,182.63","3,115.99","3,193.88","3,074.00","6.39M","3.29%"
"Jul 08, 2020","3,081.11","3,022.61","3,083.97","3,012.43","5.04M","2.70%"
"Jul 07, 2020","3,000.12","3,058.55","3,069.55","2,990.00","5.26M","-1.86%"
"Jul 06, 2020","3,057.04","2,934.97","3,059.88","2,930.00","6.88M","5.77%"
"Jul 02, 2020","2,890.30","2,912.01","2,955.56","2,871.10","6.59M","0.40%"
"Jul 01, 2020","2,878.70","2,757.99","2,895.00","2,754.00","6.36M","4.35%"
"Jun 30, 2020","2,758.82","2,685.07","2,769.63","2,675.03","3.77M","2.93%"
"Jun 29, 2020","2,680.38","2,690.01","2,696.80","2,630.08","4.22M","-0.46%"
"Jun 26, 2020","2,692.87","2,775.06","2,782.57","2,688.00","6.50M","-2.24%"
"Jun 25, 2020","2,754.58","2,739.55","2,756.23","2,712.14","2.97M","0.74%"
"Jun 24, 2020","2,734.40","2,780.00","2,796.00","2,721.00","4.53M","-1.09%"
"Jun 23, 2020","2,764.41","2,726.02","2,783.11","2,718.04","4.23M","1.86%"
"Jun 22, 2020","2,713.82","2,684.50","2,715.00","2,669.00","3.21M","1.45%"
"Jun 19, 2020","2,675.01","2,678.08","2,697.43","2,659.00","5.78M","0.79%"
"Jun 18, 2020","2,653.98","2,647.01","2,659.64","2,636.11","2.49M","0.49%"
"Jun 17, 2020","2,640.98","2,647.50","2,655.00","2,631.82","2.96M","0.98%"
"Jun 16, 2020","2,615.27","2,620.00","2,620.00","2,576.00","3.60M","1.66%"
"Jun 15, 2020","2,572.68","2,526.60","2,584.00","2,508.00","3.87M","1.09%"
"Jun 12, 2020","2,545.02","2,601.21","2,621.48","2,503.35","5.44M","-0.51%"
"Jun 11, 2020","2,557.96","2,603.50","2,671.38","2,536.23","5.80M","-3.38%"
"Jun 10, 2020","2,647.45","2,645.00","2,722.35","2,626.26","4.95M","1.79%"
"Jun 09, 2020","2,600.86","2,529.44","2,626.43","2,525.00","5.18M","3.04%"
"Jun 08, 2020","2,524.06","2,500.20","2,530.00","2,487.34","3.97M","1.65%"
"Jun 05, 2020","2,483.00","2,444.51","2,488.64","2,437.13","3.31M","0.91%"
"Jun 04, 2020","2,460.60","2,477.43","2,507.54","2,450.01","2.95M","-0.72%"
"Jun 03, 2020","2,478.40","2,468.01","2,488.00","2,461.17","2.67M","0.24%"
"Jun 02, 2020","2,472.41","2,467.00","2,473.53","2,445.31","2.53M","0.06%"
"Jun 01, 2020","2,471.04","2,448.00","2,476.93","2,444.17","2.94M","1.17%"
"May 29, 2020","2,442.37","2,415.94","2,442.37","2,398.20","3.53M","1.72%"
"May 28, 2020","2,401.10","2,384.33","2,436.97","2,378.23","3.19M","-0.39%"
"May 27, 2020","2,410.39","2,404.99","2,413.58","2,330.00","5.06M","-0.47%"
"May 26, 2020","2,421.86","2,458.00","2,462.00","2,414.06","3.57M","-0.62%"
"May 22, 2020","2,436.88","2,455.01","2,469.85","2,430.13","2.87M","-0.40%"
"May 21, 2020","2,446.74","2,500.00","2,525.45","2,442.54","5.11M","-2.05%"
"May 20, 2020","2,497.94","2,477.87","2,500.01","2,467.27","4.00M","1.98%"
"May 19, 2020","2,449.33","2,429.83","2,484.99","2,428.97","4.32M","0.95%"
"May 18, 2020","2,426.26","2,404.35","2,433.00","2,384.01","4.37M","0.68%"
"May 15, 2020","2,409.78","2,368.52","2,411.00","2,356.37","4.23M","0.88%"
"May 14, 2020","2,388.85","2,361.01","2,391.37","2,353.21","3.65M","0.88%"
"May 13, 2020","2,367.92","2,366.80","2,407.70","2,337.80","4.78M","0.47%"
"May 12, 2020","2,356.95","2,411.85","2,419.00","2,355.00","3.07M","-2.16%"
"May 11, 2020","2,409.00","2,374.70","2,419.66","2,372.11","3.26M","1.24%"
"May 08, 2020","2,379.61","2,372.14","2,387.24","2,357.00","3.21M","0.51%"
"May 07, 2020","2,367.61","2,374.78","2,376.00","2,343.11","3.40M","0.70%"
"May 06, 2020","2,351.26","2,329.44","2,357.45","2,320.00","3.12M","1.44%"
"May 05, 2020","2,317.80","2,340.00","2,351.00","2,307.13","3.24M","0.08%"
"May 04, 2020","2,315.99","2,256.38","2,326.98","2,256.38","4.87M","1.31%"
"May 01, 2020","2,286.04","2,336.80","2,362.44","2,258.19","9.77M","-7.60%"
"Apr 30, 2020","2,474.00","2,419.84","2,475.00","2,396.01","9.53M","4.27%"
"Apr 29, 2020","2,372.71","2,330.01","2,391.89","2,310.00","4.59M","2.53%"
"Apr 28, 2020","2,314.08","2,372.10","2,373.50","2,306.00","5.27M","-2.61%"
"Apr 27, 2020","2,376.00","2,443.20","2,444.88","2,363.00","5.65M","-1.42%"
"Apr 24, 2020","2,410.22","2,417.00","2,420.43","2,382.00","3.83M","0.45%"
"Apr 23, 2020","2,399.45","2,399.98","2,424.22","2,382.08","5.07M","1.52%"
